latitude,longitude,name,state_region,source,soil_type,climate_type,confidence,label
19.24442,75.31882,NEG-VERT-019,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
18.63313,75.12832,NEG-VERT-021,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
27.11164,81.64163,NEG-QUAT-010,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
23.7,74.3,Kagdi Mn Deposits,Rajasthan,MRDS,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
12.09632,77.78832,NEG-CHAR-005,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
26.57246,82.87902,NEG-QUAT-016,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
25.8268,80.20755,NEG-QUAT-029,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
19.73508,76.29841,NEG-VERT-011,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
19.06506,76.38239,NEG-VERT-013,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
22.8,85.95,Singhbhum Mn Belt,Jharkhand,GSI,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
21.45,85.5,Noamundi Mn Zone,Odisha,MRDS,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
24.24008,77.60435,NEG-AREN-006,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
19.70232,74.98376,NEG-VERT-016,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
18.80733,75.01666,NEG-VERT-002,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
23.59328,78.12781,NEG-AREN-003,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
21.55,85.9,Koira Mn Area,Odisha,GSI,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
24.41363,78.18617,NEG-AREN-024,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
23.58523,77.71431,NEG-AREN-030,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
15.35,76.55,Bellary Mn District,Karnataka,GSI,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
26.13058,72.18743,NEG-AEOL-026,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
12.0349,78.29305,NEG-CHAR-018,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
20.38326,86.47336,NEG-HYDR-040,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
11.81421,78.90651,NEG-CHAR-049,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
27.15881,81.28334,NEG-QUAT-018,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
21.28,79.65,Bhandara Mn District,Maharashtra,IBM,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
19.86393,75.84638,NEG-VERT-045,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
26.1029,72.37627,NEG-AEOL-012,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
26.77137,80.14174,NEG-QUAT-024,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
19.69216,76.30303,NEG-VERT-007,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
26.42963,72.09368,NEG-AEOL-023,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
19.80046,86.12416,NEG-HYDR-012,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
18.6347,76.05216,NEG-VERT-012,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
26.62274,79.68234,NEG-QUAT-040,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
25.92197,82.74309,NEG-QUAT-035,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
21.75,85.6,Bamebari Mine,Odisha,IBM,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
13.19987,77.82993,NEG-CHAR-010,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
15.15,76.92,Sandur Mn Belt,Karnataka,IBM,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
12.8471,77.40616,NEG-CHAR-019,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
12.99041,78.28074,NEG-CHAR-027,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
26.00638,72.65668,NEG-AEOL-045,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
20.5301,86.67052,NEG-HYDR-007,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
22.2,78.3,Pandhurna Mn Deposits,Madhya Pradesh,Literature,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
25.9558,79.80225,NEG-QUAT-021,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
27.3291,80.56483,NEG-QUAT-038,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
23.86974,78.42246,NEG-AREN-047,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
19.9904,86.46898,NEG-HYDR-033,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
24.23434,78.97821,NEG-AREN-020,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
12.15318,77.34743,NEG-CHAR-008,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
24.09417,77.44907,NEG-AREN-032,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
22.42,73.6,Panchmahal Mn Belt,Gujarat,GSI,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
27.52765,71.74947,NEG-AEOL-001,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
19.80918,86.52072,NEG-HYDR-000,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
27.44216,82.37351,NEG-QUAT-049,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
26.87936,72.858,NEG-AEOL-042,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
12.86572,77.88243,NEG-CHAR-006,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
20.01205,86.67243,NEG-HYDR-021,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
19.05957,76.2694,NEG-VERT-022,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
26.42337,71.67983,NEG-AEOL-017,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
20.13751,86.07855,NEG-HYDR-045,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
21.52,79.3,Kandri Mn Mines,Maharashtra,MRDS,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
24.27706,77.31561,NEG-AREN-034,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
25.68549,78.93522,NEG-QUAT-013,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
19.02133,75.73149,NEG-VERT-046,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
19.03156,76.32827,NEG-VERT-003,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
24.3424,78.13834,NEG-AREN-028,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
27.19499,81.21677,NEG-QUAT-014,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
20.446,85.99041,NEG-HYDR-037,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
21.15,79.42,Tumsar Mn Belt,Maharashtra,GSI,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
19.52993,75.36134,NEG-VERT-038,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
12.33059,77.25166,NEG-CHAR-044,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
19.60766,75.31055,NEG-VERT-040,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
19.10991,74.91896,NEG-VERT-037,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
19.76843,75.79027,NEG-VERT-001,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
26.72187,71.58795,NEG-AEOL-003,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
19.91651,75.95144,NEG-VERT-044,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
18.81637,76.3808,NEG-VERT-009,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
27.49508,80.79287,NEG-QUAT-043,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
20.50241,86.74695,NEG-HYDR-016,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
20.85,86.25,Sukinda Mn Zone,Odisha,IBM,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
12.89569,77.82497,NEG-CHAR-029,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
27.74419,72.88955,NEG-AEOL-000,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
15.5,76.8,Koppal Mn Deposits,Karnataka,GSI,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
20.24026,85.85059,NEG-HYDR-048,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
26.87415,71.82062,NEG-AEOL-002,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
21.45,79.1,Nagpur District Mn,Maharashtra,GSI,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
20.50298,86.63167,NEG-HYDR-014,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
26.76984,71.5145,NEG-AEOL-048,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
24.48057,78.30277,NEG-AREN-022,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
20.58733,85.89842,NEG-HYDR-041,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
21.95,79.15,Ramtek Mn Deposits,Maharashtra,MRDS,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
26.81088,80.28034,NEG-QUAT-037,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
13.12946,77.55885,NEG-CHAR-013,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
27.28436,78.89122,NEG-QUAT-003,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
19.86852,86.28599,NEG-HYDR-017,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
19.03948,76.24163,NEG-VERT-039,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
26.76244,71.91502,NEG-AEOL-044,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
15.4,74.0,North Goa Mn Occurrences,Goa,Literature,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
26.28338,72.94117,NEG-AEOL-014,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
12.39973,77.86703,NEG-CHAR-030,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
19.35383,76.02303,NEG-VERT-035,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
21.7,85.3,Joda Mine Complex,Odisha,IBM,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
12.7102,78.60622,NEG-CHAR-011,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
25.62706,80.21729,NEG-QUAT-047,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
19.8968,86.0247,NEG-HYDR-027,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
25.68182,78.71202,NEG-QUAT-044,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
25.55307,79.39477,NEG-QUAT-006,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
26.97595,72.62196,NEG-AEOL-011,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
23.95589,78.33358,NEG-AREN-010,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
27.14163,71.89598,NEG-AEOL-041,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
12.71246,78.55762,NEG-CHAR-012,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
24.0205,78.82213,NEG-AREN-001,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
26.34384,78.63409,NEG-QUAT-004,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
20.59612,86.44988,NEG-HYDR-025,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
27.07013,72.42907,NEG-AEOL-019,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
25.84228,81.78107,NEG-QUAT-028,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
21.32,78.95,Mansar Mn Deposits,Maharashtra,MRDS,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
26.1442,71.77874,NEG-AEOL-015,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
19.87754,86.23105,NEG-HYDR-038,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
12.79023,77.98388,NEG-CHAR-035,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
21.9,79.5,Katangi Mn Belt,Madhya Pradesh,GSI,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
21.67,80.34,Bharweli Mine,Madhya Pradesh,MRDS,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
19.033,75.49427,NEG-VERT-041,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
26.97294,81.54515,NEG-QUAT-002,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
18.91141,76.1882,NEG-VERT-018,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
22.14,78.62,Sausar Group Deposits,Madhya Pradesh,Literature,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
27.47905,81.38,NEG-QUAT-030,Uttar Pradesh,Incompatible Zone: Gangetic-Yamuna Deep Alluvium,quaternary_alluvium,subhumid_alluvial,1.0,0
19.97361,75.71157,NEG-VERT-025,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
12.78166,77.69728,NEG-CHAR-048,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
12.67116,77.24854,NEG-CHAR-000,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
20.95,86.1,Jajpur Mn District,Odisha,GSI,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
20.28718,85.95284,NEG-HYDR-009,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
20.15048,86.31758,NEG-HYDR-026,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
12.35163,78.21591,NEG-CHAR-001,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
27.17716,71.51173,NEG-AEOL-034,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
18.7782,75.51476,NEG-VERT-043,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
11.82853,77.47429,NEG-CHAR-014,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
23.95735,77.5723,NEG-AREN-036,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
27.50074,72.55531,NEG-AEOL-032,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
22.65,86.15,Chaibasa Mn Deposits,Jharkhand,MRDS,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
19.95856,75.10357,NEG-VERT-027,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
19.63873,75.94007,NEG-VERT-036,Maharashtra Plateau,Incompatible Zone: Central Maharashtra Basalt Trap,vertisol_black_cotton,semi_arid_trap,0.95,0
26.66515,71.73662,NEG-AEOL-031,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
27.33422,72.32752,NEG-AEOL-047,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
14.75,76.25,Holalkere Mn Zone,Karnataka,Literature,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
12.09697,78.6361,NEG-CHAR-046,Tamil Nadu/South Karnataka,Incompatible Zone: Southern Charnockite/Granulite Plain,charnockitic_red_loam,semi_arid_peninsular,0.9,0
20.04601,85.85793,NEG-HYDR-015,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
26.90513,72.77908,NEG-AEOL-013,West Rajasthan,Incompatible Zone: Thar Desert Margin,aeolian_sand,arid_aeolian,1.0,0
21.3,85.8,Gua Mn Deposits,Odisha,MRDS,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
23.77196,78.34779,NEG-AREN-027,Central MP,Incompatible Zone: Upper Vindhyan Sandstone Basin,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0
21.72,80.25,Waraseoni Mn Area,Madhya Pradesh,GSI,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
19.85537,86.5606,NEG-HYDR-018,Odisha/AP Coast,Incompatible Zone: Lower Coastal Deltaic Plains,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0
21.82,85.42,Keonjhar Mn Deposits,Odisha,GSI,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1
