latitude,longitude,name,soil_type,climate_type,sample_weight,label,ferric_iron_index,ferrous_mineral_index,laterite_index,gossan_index,ndvi,slope,elevation,soil_weathering_index,climate_weathering_index
26.27863,71.94506,NEG-AEOL-009,aeolian_sand,arid_aeolian,1.0,0,0.806779,0.751468,0.674632,0.619124,0.116135,2.957257,301.347077,0.317607,0.367186
23.76933,78.05525,NEG-AREN-008,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0,0.956935,1.125237,0.953814,0.938048,0.222017,3.867733,533.865682,0.777965,0.895777
12.85281,78.69746,NEG-CHAR-007,charnockitic_red_loam,semi_arid_peninsular,0.9,0,0.714895,1.028206,1.006702,0.934009,0.292166,4.194917,557.990101,0.553388,0.772941
12.55344,78.0703,NEG-CHAR-038,charnockitic_red_loam,semi_arid_peninsular,0.9,0,1.163414,0.900923,0.89629,1.011733,0.206219,4.68388,323.230592,0.786224,0.82035
19.49807,75.47945,NEG-VERT-024,vertisol_black_cotton,semi_arid_trap,0.95,0,1.314012,1.110892,1.113883,0.836641,0.385343,4.081662,650.929069,0.555099,0.879062
18.94934,74.97475,NEG-VERT-006,vertisol_black_cotton,semi_arid_trap,0.95,0,1.110962,1.24869,1.035486,0.985728,0.337402,1.253277,534.656707,0.718913,0.982027
27.1857,81.992,NEG-QUAT-032,quaternary_alluvium,subhumid_alluvial,1.0,0,0.878898,0.982039,0.70741,0.880454,0.586561,2.341564,215.164576,0.515585,0.648276
12.77925,78.58042,NEG-CHAR-017,charnockitic_red_loam,semi_arid_peninsular,0.9,0,1.054942,1.006869,0.998999,0.915965,0.538674,4.393371,475.98597,0.832889,0.88702
26.94101,72.90206,NEG-AEOL-021,aeolian_sand,arid_aeolian,1.0,0,0.742921,0.852224,0.671933,0.676323,0.084479,4.279322,245.935624,0.36155,0.321744
25.9581,78.64445,NEG-QUAT-033,quaternary_alluvium,subhumid_alluvial,1.0,0,0.888714,0.777343,0.912937,0.942973,0.464879,2.383978,177.340532,0.420501,0.811822
26.13091,79.70483,NEG-QUAT-034,quaternary_alluvium,subhumid_alluvial,1.0,0,0.92039,0.801697,0.929825,0.915479,0.44566,2.070651,171.964197,0.462246,0.800035
19.20184,75.78597,NEG-VERT-048,vertisol_black_cotton,semi_arid_trap,0.95,0,1.161808,1.001607,0.995707,0.980303,0.671921,0.147855,572.146295,0.706313,0.76998
19.24442,75.31882,NEG-VERT-019,vertisol_black_cotton,semi_arid_trap,0.95,0,1.268191,1.079057,1.218913,0.931364,0.442061,2.616474,468.198399,0.746873,0.751743
18.63313,75.12832,NEG-VERT-021,vertisol_black_cotton,semi_arid_trap,0.95,0,1.064299,0.848447,1.190296,0.96163,0.609149,1.687198,541.940178,1.088144,0.693027
27.11164,81.64163,NEG-QUAT-010,quaternary_alluvium,subhumid_alluvial,1.0,0,0.79047,0.895349,0.931974,0.989334,0.730651,1.368689,77.898716,0.476497,0.884022
23.7,74.3,Kagdi Mn Deposits,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.454506,0.946029,1.334392,1.67167,0.310124,12.165903,423.558139,1.186371,1.218811
12.09632,77.78832,NEG-CHAR-005,charnockitic_red_loam,semi_arid_peninsular,0.9,0,1.00563,1.005352,1.009622,0.942615,0.218728,2.48888,327.442048,0.757209,0.565649
26.57246,82.87902,NEG-QUAT-016,quaternary_alluvium,subhumid_alluvial,1.0,0,0.906672,0.994988,1.047421,0.92713,0.69018,1.240896,116.501821,0.452561,0.912734
25.8268,80.20755,NEG-QUAT-029,quaternary_alluvium,subhumid_alluvial,1.0,0,1.039422,0.99874,1.24633,0.916766,0.636849,1.876832,140.015144,0.751617,0.91066
19.73508,76.29841,NEG-VERT-011,vertisol_black_cotton,semi_arid_trap,0.95,0,0.872062,1.036017,1.0014,1.06615,0.238186,0.1,377.022477,0.732178,0.76968
19.06506,76.38239,NEG-VERT-013,vertisol_black_cotton,semi_arid_trap,0.95,0,1.081426,0.995336,0.803091,0.757465,0.439502,4.166097,594.474525,0.826988,0.760928
22.8,85.95,Singhbhum Mn Belt,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.595882,1.200909,1.234266,1.326296,0.093215,2.619921,414.379563,1.394984,1.276528
21.45,85.5,Noamundi Mn Zone,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.265785,1.272053,1.614699,1.426886,0.099389,8.129935,430.814614,1.182933,1.304969
24.24008,77.60435,NEG-AREN-006,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0,1.007342,1.152915,1.053217,1.124084,0.280187,5.673827,328.849402,0.717435,0.866061
19.70232,74.98376,NEG-VERT-016,vertisol_black_cotton,semi_arid_trap,0.95,0,0.948031,1.299932,1.018085,0.7707,0.466343,2.766659,520.103216,0.791234,0.819053
18.80733,75.01666,NEG-VERT-002,vertisol_black_cotton,semi_arid_trap,0.95,0,0.795302,0.952585,1.042715,1.123132,0.628378,6.745703,365.834755,0.824643,0.588371
23.59328,78.12781,NEG-AREN-003,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0,1.193632,0.977868,0.80306,1.241188,0.470156,0.1,443.477449,0.592263,0.832243
21.55,85.9,Koira Mn Area,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.305569,1.412289,1.112274,1.477133,0.285135,7.305639,447.638921,1.38828,1.237236
24.41363,78.18617,NEG-AREN-024,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0,1.077747,0.960676,0.826748,1.211442,0.490826,3.832365,369.066019,0.585876,0.955404
23.58523,77.71431,NEG-AREN-030,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0,0.982423,1.000538,0.917865,1.073969,0.363763,5.880479,405.343127,0.77955,0.893962
15.35,76.55,Bellary Mn District,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.361342,1.099631,1.189581,1.286667,0.061241,13.230287,602.203861,1.579814,1.59352
26.13058,72.18743,NEG-AEOL-026,aeolian_sand,arid_aeolian,1.0,0,0.721938,0.556159,0.615669,0.693972,0.020462,2.199408,254.347315,0.283246,0.203894
12.0349,78.29305,NEG-CHAR-018,charnockitic_red_loam,semi_arid_peninsular,0.9,0,0.908949,1.146535,0.920842,0.900408,0.327794,6.299556,365.224956,0.737822,0.900067
20.38326,86.47336,NEG-HYDR-040,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0,0.924912,1.059969,0.724952,0.913273,0.424858,0.60173,42.941308,0.482238,0.65021
11.81421,78.90651,NEG-CHAR-049,charnockitic_red_loam,semi_arid_peninsular,0.9,0,0.85703,1.011783,0.864355,0.889134,0.289261,4.742287,250.317432,0.723292,0.83913
27.15881,81.28334,NEG-QUAT-018,quaternary_alluvium,subhumid_alluvial,1.0,0,0.881547,1.053693,0.947258,0.859372,0.456198,2.225636,81.77669,0.486738,0.696895
21.28,79.65,Bhandara Mn District,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.39118,1.249558,1.345886,1.624273,0.158245,9.097527,392.348706,1.461059,1.383378
19.86393,75.84638,NEG-VERT-045,vertisol_black_cotton,semi_arid_trap,0.95,0,1.214097,0.99778,0.95317,0.973544,0.389487,3.518702,391.409538,0.830748,0.845321
26.1029,72.37627,NEG-AEOL-012,aeolian_sand,arid_aeolian,1.0,0,0.810438,0.859966,0.621293,0.697109,0.080391,4.830623,153.439014,0.358861,0.16175
26.77137,80.14174,NEG-QUAT-024,quaternary_alluvium,subhumid_alluvial,1.0,0,0.681843,0.747917,0.728005,1.026903,0.42843,1.395288,97.641926,0.581095,0.649804
19.69216,76.30303,NEG-VERT-007,vertisol_black_cotton,semi_arid_trap,0.95,0,1.198118,0.970758,0.858221,0.993502,0.402965,6.064442,529.030547,0.607138,0.723966
26.42963,72.09368,NEG-AEOL-023,aeolian_sand,arid_aeolian,1.0,0,0.674177,0.738003,0.684541,0.690449,0.114784,1.865804,233.188313,0.334461,0.341691
19.80046,86.12416,NEG-HYDR-012,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0,0.840147,0.88492,0.675416,0.868605,0.449483,0.971843,5.0,0.504319,0.516806
18.6347,76.05216,NEG-VERT-012,vertisol_black_cotton,semi_arid_trap,0.95,0,0.946719,1.196444,0.789864,0.97126,0.408911,1.702598,620.719975,0.904866,0.582838
26.62274,79.68234,NEG-QUAT-040,quaternary_alluvium,subhumid_alluvial,1.0,0,0.795101,1.030823,0.736667,0.881136,0.568137,2.222665,139.953633,0.529522,0.682327
25.92197,82.74309,NEG-QUAT-035,quaternary_alluvium,subhumid_alluvial,1.0,0,1.069236,0.900469,0.917371,0.868836,0.564885,1.448653,142.689112,0.418622,0.839641
21.75,85.6,Bamebari Mine,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.606247,1.254041,1.457174,1.570852,0.214239,11.261749,447.735437,1.480961,1.32826
13.19987,77.82993,NEG-CHAR-010,charnockitic_red_loam,semi_arid_peninsular,0.9,0,0.88313,0.952623,0.71339,0.999292,0.437872,6.919158,432.102182,0.791377,0.819941
15.15,76.92,Sandur Mn Belt,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.216244,1.022407,1.184842,1.174093,0.190697,9.473349,639.218893,1.37028,1.445286
12.8471,77.40616,NEG-CHAR-019,charnockitic_red_loam,semi_arid_peninsular,0.9,0,1.127223,0.879013,0.907082,0.936061,0.153016,5.685478,515.103583,0.679229,0.765749
12.99041,78.28074,NEG-CHAR-027,charnockitic_red_loam,semi_arid_peninsular,0.9,0,1.130909,0.692054,0.961297,1.017194,0.30008,7.261464,497.658834,0.648661,0.810463
26.00638,72.65668,NEG-AEOL-045,aeolian_sand,arid_aeolian,1.0,0,0.688958,0.63903,0.532262,0.810396,0.12112,3.4578,185.283204,0.486468,0.36881
20.5301,86.67052,NEG-HYDR-007,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0,0.868806,0.829578,0.693357,0.841855,0.410438,0.782895,41.329671,0.249318,0.850573
22.2,78.3,Pandhurna Mn Deposits,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.630673,1.046808,1.113817,1.368984,0.057509,9.276977,310.128842,1.327982,1.536343
25.9558,79.80225,NEG-QUAT-021,quaternary_alluvium,subhumid_alluvial,1.0,0,0.828341,0.922693,0.716143,0.983824,0.518455,3.34666,159.307775,0.482782,0.815027
27.3291,80.56483,NEG-QUAT-038,quaternary_alluvium,subhumid_alluvial,1.0,0,0.889377,0.816069,0.913214,0.902513,0.573284,1.937912,127.035615,0.562158,0.93377
23.86974,78.42246,NEG-AREN-047,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0,0.867064,1.141117,0.910864,0.908005,0.719811,4.541048,529.63224,0.778111,0.635135
19.9904,86.46898,NEG-HYDR-033,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0,0.862082,0.867468,0.645821,0.622829,0.532275,1.095127,30.860023,0.369417,0.570148
24.23434,78.97821,NEG-AREN-020,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0,0.881577,0.888932,0.816033,0.975607,0.376796,2.228826,401.435989,0.588762,0.819508
12.15318,77.34743,NEG-CHAR-008,charnockitic_red_loam,semi_arid_peninsular,0.9,0,1.060851,0.969594,0.996658,0.801758,0.326982,4.808827,471.292997,0.48824,0.83751
24.09417,77.44907,NEG-AREN-032,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0,1.14477,0.930353,0.928629,1.054055,0.414597,5.684202,425.793109,0.6983,0.733931
22.42,73.6,Panchmahal Mn Belt,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.35273,1.395437,1.307333,1.389658,0.10068,12.955151,413.719255,1.48747,1.207563
27.52765,71.74947,NEG-AEOL-001,aeolian_sand,arid_aeolian,1.0,0,0.635378,0.696475,0.661716,0.723805,0.122501,2.005005,262.14968,0.247215,0.32555
19.80918,86.52072,NEG-HYDR-000,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0,0.913246,0.973652,0.798788,0.72144,0.480715,1.05089,24.712238,0.412374,0.514018
27.44216,82.37351,NEG-QUAT-049,quaternary_alluvium,subhumid_alluvial,1.0,0,0.958109,0.880807,0.760833,0.904531,0.290089,2.228713,188.34058,0.514656,0.660622
26.87936,72.858,NEG-AEOL-042,aeolian_sand,arid_aeolian,1.0,0,0.64437,0.66791,0.431864,0.714438,0.106577,2.125726,215.279882,0.334557,0.271039
12.86572,77.88243,NEG-CHAR-006,charnockitic_red_loam,semi_arid_peninsular,0.9,0,1.131298,0.952024,0.857229,0.944648,0.405472,7.623641,394.378136,0.553697,0.724288
20.01205,86.67243,NEG-HYDR-021,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0,0.640367,0.952979,0.643868,0.676649,0.282878,0.241006,33.526217,0.268865,0.475036
19.05957,76.2694,NEG-VERT-022,vertisol_black_cotton,semi_arid_trap,0.95,0,1.061392,1.042471,1.001863,1.061462,0.39898,1.164031,510.715003,0.795029,0.721701
26.42337,71.67983,NEG-AEOL-017,aeolian_sand,arid_aeolian,1.0,0,0.605003,0.768209,0.612628,0.667262,0.080638,3.736567,253.180988,0.293342,0.290928
20.13751,86.07855,NEG-HYDR-045,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0,1.064702,1.058779,0.847287,0.687772,0.970247,0.200671,19.422956,0.330011,0.812689
21.52,79.3,Kandri Mn Mines,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.447238,1.020203,1.382814,1.518443,0.114521,5.929336,421.497995,1.298841,1.322728
24.27706,77.31561,NEG-AREN-034,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0,0.937611,1.030874,0.826006,0.792234,0.276485,7.167559,374.147495,0.960897,0.874063
25.68549,78.93522,NEG-QUAT-013,quaternary_alluvium,subhumid_alluvial,1.0,0,0.823557,0.866571,0.906771,0.802236,0.882441,0.708198,180.642456,0.666013,0.74908
19.02133,75.73149,NEG-VERT-046,vertisol_black_cotton,semi_arid_trap,0.95,0,0.920497,1.049963,0.993466,1.076333,0.406806,0.9796,523.174293,0.665931,0.561676
19.03156,76.32827,NEG-VERT-003,vertisol_black_cotton,semi_arid_trap,0.95,0,0.956293,0.92243,1.020423,1.193858,0.62305,2.468224,484.945422,0.815766,0.886129
24.3424,78.13834,NEG-AREN-028,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0,0.949751,0.93431,1.204832,0.987106,0.312055,4.463811,466.376189,0.557403,0.792676
27.19499,81.21677,NEG-QUAT-014,quaternary_alluvium,subhumid_alluvial,1.0,0,0.823364,0.922174,1.086462,0.994172,0.537044,0.760199,135.986642,0.625073,0.703831
20.446,85.99041,NEG-HYDR-037,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0,0.995042,0.782636,0.750995,0.974276,0.279059,1.394207,5.0,0.390992,0.632747
21.15,79.42,Tumsar Mn Belt,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.511887,0.778364,1.03315,1.318117,0.142952,7.073741,451.747981,1.193936,1.271847
19.52993,75.36134,NEG-VERT-038,vertisol_black_cotton,semi_arid_trap,0.95,0,0.938388,1.106842,1.01977,1.137622,0.32123,2.927615,523.580907,0.707559,0.774801
12.33059,77.25166,NEG-CHAR-044,charnockitic_red_loam,semi_arid_peninsular,0.9,0,0.812539,0.990893,0.830177,0.885165,0.157662,6.754204,408.751272,0.817939,0.849953
19.60766,75.31055,NEG-VERT-040,vertisol_black_cotton,semi_arid_trap,0.95,0,0.835597,0.960793,1.040952,0.895775,0.269159,3.177118,506.727463,0.628695,0.747385
19.10991,74.91896,NEG-VERT-037,vertisol_black_cotton,semi_arid_trap,0.95,0,0.982581,0.795101,1.01032,0.890749,0.556533,1.429776,401.530122,0.870639,0.621494
19.76843,75.79027,NEG-VERT-001,vertisol_black_cotton,semi_arid_trap,0.95,0,0.963659,1.145707,0.910442,0.797898,0.422564,3.150219,616.28913,0.804751,1.083571
26.72187,71.58795,NEG-AEOL-003,aeolian_sand,arid_aeolian,1.0,0,0.588328,0.678266,0.554001,0.79238,0.112874,3.404845,201.133402,0.260388,0.128219
19.91651,75.95144,NEG-VERT-044,vertisol_black_cotton,semi_arid_trap,0.95,0,1.24514,1.135904,0.918697,1.082687,0.49011,5.255476,398.234692,0.661478,0.799544
18.81637,76.3808,NEG-VERT-009,vertisol_black_cotton,semi_arid_trap,0.95,0,1.082651,1.185296,0.828964,0.993993,0.664642,4.74546,585.292216,0.737889,0.856763
27.49508,80.79287,NEG-QUAT-043,quaternary_alluvium,subhumid_alluvial,1.0,0,1.120399,0.960664,1.014638,0.832486,0.632614,2.413795,116.159848,0.629812,0.692475
20.50241,86.74695,NEG-HYDR-016,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0,0.769476,0.919881,0.973199,0.830915,0.632294,0.434101,26.162462,0.282344,0.592889
20.85,86.25,Sukinda Mn Zone,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.513703,1.214624,1.572207,1.383565,0.124165,14.668385,396.08301,1.147233,1.476153
12.89569,77.82497,NEG-CHAR-029,charnockitic_red_loam,semi_arid_peninsular,0.9,0,1.049703,0.711829,0.945344,0.951546,0.624278,2.596219,373.538556,0.570752,0.704054
27.74419,72.88955,NEG-AEOL-000,aeolian_sand,arid_aeolian,1.0,0,0.66396,0.565126,0.557192,0.571473,0.020109,0.62839,213.942053,0.265305,0.176412
15.5,76.8,Koppal Mn Deposits,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.456523,1.213269,1.270884,1.336485,0.26743,11.039349,633.5227,0.997954,1.241552
20.24026,85.85059,NEG-HYDR-048,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0,0.632899,0.87738,0.817331,0.73257,0.582233,0.288625,33.637047,0.244639,0.623831
26.87415,71.82062,NEG-AEOL-002,aeolian_sand,arid_aeolian,1.0,0,0.753585,0.722874,0.638546,0.855177,0.063423,1.958805,102.024627,0.461515,0.22786
21.45,79.1,Nagpur District Mn,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.191838,1.404927,1.537681,1.439499,0.025206,11.666416,427.716481,1.196092,1.445205
20.50298,86.63167,NEG-HYDR-014,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0,0.636741,0.976716,0.825936,1.005101,0.559021,0.1,12.458185,0.406467,0.685556
26.76984,71.5145,NEG-AEOL-048,aeolian_sand,arid_aeolian,1.0,0,0.798465,0.523226,0.620305,0.777589,0.141759,4.733229,220.489041,0.407808,0.352703
24.48057,78.30277,NEG-AREN-022,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0,1.143768,1.029605,1.039336,0.905214,0.177385,6.362265,392.234655,0.676624,0.756341
20.58733,85.89842,NEG-HYDR-041,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0,0.810709,0.943275,0.677814,0.80685,0.549527,0.761322,13.845553,0.478662,0.837264
21.95,79.15,Ramtek Mn Deposits,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.283801,1.392825,1.482282,0.942415,0.079104,7.974559,511.906293,1.386388,1.376928
26.81088,80.28034,NEG-QUAT-037,quaternary_alluvium,subhumid_alluvial,1.0,0,1.003628,0.860108,0.79788,0.797711,0.526162,1.492807,157.70424,0.447269,0.850652
13.12946,77.55885,NEG-CHAR-013,charnockitic_red_loam,semi_arid_peninsular,0.9,0,1.110053,1.120117,1.025357,1.022261,0.474139,5.541454,367.854808,0.834726,1.009037
27.28436,78.89122,NEG-QUAT-003,quaternary_alluvium,subhumid_alluvial,1.0,0,1.137695,0.953523,0.91567,0.961636,0.549644,2.15736,144.546907,0.500622,0.935898
19.86852,86.28599,NEG-HYDR-017,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0,0.866472,0.926701,0.868202,0.815033,0.554995,0.768218,6.693753,0.396903,0.536312
19.03948,76.24163,NEG-VERT-039,vertisol_black_cotton,semi_arid_trap,0.95,0,1.065218,0.950042,1.060005,1.062416,0.433651,3.319759,551.222596,0.52385,0.670318
26.76244,71.91502,NEG-AEOL-044,aeolian_sand,arid_aeolian,1.0,0,0.708101,0.707621,0.642854,0.619631,0.085338,1.955559,186.570148,0.34636,0.237401
15.4,74.0,North Goa Mn Occurrences,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.571437,1.313174,1.457547,1.4779,0.072386,6.925305,516.730514,1.763062,1.190467
26.28338,72.94117,NEG-AEOL-014,aeolian_sand,arid_aeolian,1.0,0,0.703213,0.651169,0.624701,0.653276,0.005266,1.302168,170.466523,0.309858,0.208948
12.39973,77.86703,NEG-CHAR-030,charnockitic_red_loam,semi_arid_peninsular,0.9,0,0.917538,0.973747,0.870066,1.111851,0.325935,4.695345,313.976263,0.758825,0.77543
19.35383,76.02303,NEG-VERT-035,vertisol_black_cotton,semi_arid_trap,0.95,0,1.089051,1.116301,0.929187,1.003918,0.353764,5.922998,590.071664,0.793074,0.661986
21.7,85.3,Joda Mine Complex,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.204111,1.127059,1.3008,1.500643,0.068277,14.319759,435.21569,1.078211,1.262962
12.7102,78.60622,NEG-CHAR-011,charnockitic_red_loam,semi_arid_peninsular,0.9,0,0.689778,0.86731,0.874105,0.926751,0.334465,3.332976,372.501252,0.8603,0.953639
25.62706,80.21729,NEG-QUAT-047,quaternary_alluvium,subhumid_alluvial,1.0,0,0.825816,1.07539,0.70165,0.838539,0.763527,0.1,175.865355,0.394651,0.7456
19.8968,86.0247,NEG-HYDR-027,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0,0.83198,1.08972,0.69894,0.793098,0.595242,0.674111,12.66899,0.39408,0.659351
25.68182,78.71202,NEG-QUAT-044,quaternary_alluvium,subhumid_alluvial,1.0,0,1.028406,0.855695,0.830596,0.952294,0.526597,1.433248,149.23486,0.450416,0.680031
25.55307,79.39477,NEG-QUAT-006,quaternary_alluvium,subhumid_alluvial,1.0,0,0.984073,0.84049,1.008192,0.94173,0.371284,1.854724,157.527537,0.596216,0.875885
26.97595,72.62196,NEG-AEOL-011,aeolian_sand,arid_aeolian,1.0,0,0.690686,0.623379,0.595462,0.621513,0.050142,2.841403,240.763291,0.280691,0.205705
23.95589,78.33358,NEG-AREN-010,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0,1.041746,0.894824,0.815181,0.981799,0.342971,1.845909,486.174109,0.781521,0.824498
27.14163,71.89598,NEG-AEOL-041,aeolian_sand,arid_aeolian,1.0,0,0.730483,0.722185,0.647217,0.771303,0.14624,2.596592,262.012671,0.389876,0.229717
12.71246,78.55762,NEG-CHAR-012,charnockitic_red_loam,semi_arid_peninsular,0.9,0,0.864603,1.04966,0.751748,1.21466,0.501861,4.612921,424.087675,0.890163,0.715915
24.0205,78.82213,NEG-AREN-001,arenaceous_sandstone_soil,semi_arid_plateau,0.92,0,0.860777,0.884205,0.908584,0.879224,0.401541,4.499079,354.891428,0.872366,0.666872
26.34384,78.63409,NEG-QUAT-004,quaternary_alluvium,subhumid_alluvial,1.0,0,0.812328,0.987612,0.857177,0.961773,0.463344,0.669994,120.950544,0.45164,0.8125
20.59612,86.44988,NEG-HYDR-025,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0,0.802004,0.996143,0.838808,0.90406,0.628086,1.192176,36.547795,0.348331,0.623812
27.07013,72.42907,NEG-AEOL-019,aeolian_sand,arid_aeolian,1.0,0,0.57359,0.70334,0.589361,0.732124,0.101099,0.877488,189.308032,0.292052,0.218944
25.84228,81.78107,NEG-QUAT-028,quaternary_alluvium,subhumid_alluvial,1.0,0,0.956702,0.834458,0.88519,0.751151,0.248285,2.244997,91.260893,0.464008,0.618264
21.32,78.95,Mansar Mn Deposits,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.154581,1.16416,1.274379,1.596866,0.175961,9.286085,510.461012,1.516318,1.369356
26.1442,71.77874,NEG-AEOL-015,aeolian_sand,arid_aeolian,1.0,0,0.687495,0.761488,0.809167,0.752843,0.150827,3.611919,282.442929,0.232785,0.183187
19.87754,86.23105,NEG-HYDR-038,hydromorphic_saline_alluvium,humid_coastal_lowland,1.0,0,0.845052,0.753054,0.720705,0.886734,0.440181,1.066596,5.0,0.350636,0.752344
12.79023,77.98388,NEG-CHAR-035,charnockitic_red_loam,semi_arid_peninsular,0.9,0,1.025021,0.981931,1.144567,1.155616,0.25724,7.099377,370.78047,0.677889,0.821673
21.9,79.5,Katangi Mn Belt,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.551686,1.061903,1.412298,1.514323,0.204921,9.46365,525.204734,1.260384,1.457647
21.67,80.34,Bharweli Mine,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.436358,1.023988,1.405267,1.452275,0.111547,7.623112,450.588423,1.158098,1.522886
19.033,75.49427,NEG-VERT-041,vertisol_black_cotton,semi_arid_trap,0.95,0,0.904607,1.007259,1.087388,1.044353,0.486429,6.230075,496.589295,0.624886,0.864427
26.97294,81.54515,NEG-QUAT-002,quaternary_alluvium,subhumid_alluvial,1.0,0,1.019628,0.917311,0.740786,1.043915,0.630619,0.363873,185.097922,0.375902,0.711737
18.91141,76.1882,NEG-VERT-018,vertisol_black_cotton,semi_arid_trap,0.95,0,0.905203,1.009839,0.850003,0.912536,0.486912,4.030264,567.15487,0.860158,0.74273
22.14,78.62,Sausar Group Deposits,lateritic_gravelly_loam,tropical_wet_dry_supergene,1.0,1,1.392783,1.295341,1.613078,1.581834,0.250524,13.766377,528.435925,1.110146,1.425703
27.47905,81.38,NEG-QUAT-030,quaternary_alluvium,subhumid_alluvial,1.0,0,0.961292,0.955421,0.822002,0.877473,0.608265,2.355978,82.599648,0.54181,0.703931
